ML;1;;;;;;;;;;;;
BG;RandomBangaloreCityRoadEveningTimeBG;0;;;;;;;;;;;
N;0;कैब में जाने से पहले मैंने फिरसे {$MalePlayerName} को कॉल किया।;;;;;;;;;;;
N;0;एक लडकी ने कॉल उठायी! ;;;;;;;;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Confuse;क्या मुझे बात करते रहना चाहिए?  ;0;D1;PatiPatniAurWo;1;L;-1;3;हाँ।;नहीं, मुझे नहीं जानना।
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Angry;हाँ, आखिर पता तो चले कौन हैं ये!;0;D1;PatiPatniAurWo;0;L;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Angry;मुझे बात आगे बढ़ानी चाहिए! ;0;D1;PatiPatniAurWo;0;L;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Angry;देखते हैं ये बात कहाँ तक जाती हैं। ;0;D1;PatiPatniAurWo;0;L;;;;
MBE;;;;;;;;;;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Angry;नहीं, मुझे नहीं जानना।;0;D1;PatiPatniAurWo;0;L;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Angry;मुझे नहीं सुन्नी उसकी आवाज़। ;0;D1;PatiPatniAurWo;0;L;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Confuse;पर सुन्नी तो पड़ेगी न, पता कैसे चलेगा? ;0;D1;PatiPatniAurWo;0;L;;;;
MBE;;;;;;;;;;;;;
N;0;फिर मैं उस लड़की से फ़ोन पर बात करने लगी-;RandomBangaloreCityRoadEveningTimeBG;;;;;;;;;;
D;RandomBangaloreCityRoadEveningTimeBG;SilhoutteFemale;Phone;हेलो, हु इस दीस?;0;D1;PatiPatniAurWo;0;R;;;;
D;RandomBangaloreCityRoadEveningTimeBG;XXXF;Phone;कैन आई टॉक टू {$MalePlayerName}? ;0;D1;PatiPatniAurWo;0;L;;;;
D;RandomBangaloreCityRoadEveningTimeBG;SilhoutteFemale;Phone;{$MalePlayerName} इस स्लीपिंग, उठेगा तो बात करवाऊँगी। ;0;D1;PatiPatniAurWo;0;R;;;;
